timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1704067200000,2283.84,2299.16,2282.97,2297.41,75593.183,1704070799999,173399631.75655,75195,40291.257,92415191.78822,0
1704070800000,2297.41,2308.74,2294.77,2305.71,58591.895,1704074399999,134941626.02991,60112,31397.246,72305626.55339,0
1704074400000,2305.72,2306.95,2293.15,2295.19,44611.328,1704077999999,102578990.58450,45679,19798.810,45523577.58666,0
1704078000000,2295.19,2296.83,2272.04,2275.59,88559.028,1704081599999,202107525.46153,87063,40900.389,93320364.02807,0
1704081600000,2275.59,2281.71,2266.67,2281.45,80010.451,1704085199999,182055645.49232,82831,40686.056,92594738.13861,0
1704085200000,2281.46,2285.48,2274.10,2277.96,51216.415,1704088799999,116823339.19626,56411,25553.789,58294570.11815,0
1704088800000,2277.96,2285.32,2276.00,2283.44,45811.582,1704092399999,104464342.51605,42095,23486.243,53561982.20346,0
1704092400000,2283.43,2289.82,2282.90,2286.46,36678.462,1704095999999,83863540.87073,42960,17269.253,39487975.94007,0
1704096000000,2286.46,2289.29,2281.82,2289.07,33694.121,1704099599999,77013838.62898,40057,14399.152,32914281.58706,0
1704099600000,2289.07,2302.47,2288.76,2301.83,76505.359,1704103199999,175631581.76942,74173,39147.219,89873220.14022,0
1704103200000,2301.83,2305.56,2299.64,2304.19,56971.338,1704106799999,131192008.27295,61201,27804.800,64028661.96182,0
1704106800000,2304.19,2307.45,2301.01,2306.72,46442.298,1704110399999,107017426.59262,51518,21292.437,49064423.12912,0
1704110400000,2306.71,2309.49,2300.94,2301.52,54115.198,1704113999999,124762520.94834,56201,26536.782,61187591.53884,0
1704114000000,2301.52,2310.81,2300.00,2306.13,41015.711,1704117599999,94598842.36146,46824,21481.613,49548304.68501,0
1704117600000,2306.13,2307.50,2296.51,2303.20,59893.321,1704121199999,137898575.16218,63586,28703.180,66092355.25382,0
1704121200000,2303.20,2321.00,2301.47,2316.97,97780.491,1704124799999,226212207.88458,94170,53616.436,124038614.61805,0
1704124800000,2316.97,2322.24,2308.36,2311.90,103280.503,1704128399999,239082691.03089,93962,49616.435,114869160.41207,0
1704128400000,2311.90,2319.14,2308.52,2315.87,54025.428,1704131999999,125073083.66389,55631,27686.516,64094587.36673,0
1704132000000,2315.87,2334.43,2315.87,2328.95,123181.291,1704135599999,286752831.23564,118817,69880.779,162649222.09255,0
1704135600000,2328.96,2343.43,2324.04,2339.71,92448.666,1704139199999,215866726.40060,95352,51685.613,120705397.65044,0
1704139200000,2339.71,2351.34,2337.34,2343.24,117681.083,1704142799999,275907254.33625,114750,59332.367,139109764.24431,0
1704142800000,2343.24,2349.15,2334.30,2340.71,67722.134,1704146399999,158532993.65383,71607,31305.079,73289516.54217,0
1704146400000,2340.70,2341.96,2325.56,2336.77,49571.755,1704149999999,115682544.28566,58579,25043.390,58447641.92945,0
1704150000000,2336.77,2354.95,2336.50,2354.62,103162.377,1704153599999,242147875.54389,106107,57754.156,135577316.39828,0
